Station Category;Station Type;ID Hash;WMO ID;Alternative IDs;Name;Location Lat,Lon;Elevation;Start Date;End Date;Horizontal Distance;Vertical Distance;Effective Distance
SYNOP;SYNO;641685670;170520;;Kirklareli;41.7381,27.2178;232m;2017-01-01T03:00:00Z;2024-06-14T06:00:00Z;-999;-999;-999
SYNOP;SYNO;641980001;136190;;Peshkopi;41.6833,20.4333;657m;2017-01-01T00:00:00Z;2024-06-14T06:00:00Z;-999;-999;-999
METAR;META;646550924;166650;LGBL;Nea Anchialos National Airport;39.2196,22.7943;25m;2016-12-31T23:50:00Z;2024-06-14T07:20:00Z;-999;-999;-999
METAR;META;727829326;;LGZA;"Zakynthos International Airport ""Dionysios Solomos""";37.7509,20.8843;5m;2017-01-01T05:50:00Z;2024-06-14T07:20:00Z;-999;-999;-999
METAR;META;735871069;;LGKC;Kithira Airport;36.2743,23.017;319m;2017-01-01T11:50:00Z;2024-06-13T19:50:00Z;-999;-999;-999
SYNOP;SYNA;737004859;135770;;Lazaropole;41.5333,20.7;1332m;2017-01-01T00:00:00Z;2024-06-14T07:00:00Z;-999;-999;-999
METAR;META;747390606;170540;LTBU;Tekirdağ Çorlu Airport;41.1382,27.9191;175m;2016-12-31T23:50:00Z;2024-06-14T07:20:00Z;-999;-999;-999
SYNOP;SYNO;779537793;172980;;Marmaris;36.85,28.2667;5m;2017-01-01T00:00:00Z;2024-06-14T07:00:00Z;-999;-999;-999
SYNOP;SYNO;801506516;172970;;Datca;36.7083,27.6919;28m;2017-04-13T06:00:00Z;2017-04-13T06:00:00Z;-999;-999;-999
SYNOP;SYNO;820628403;171750;;Ayvalik;39.3,26.7;4m;2017-01-01T00:00:00Z;2024-06-14T06:00:00Z;-999;-999;-999
METAR;AUTO;835132306;;KQNC;Souda Bay/Crete;35.53,24.13;150m;2021-07-28T15:55:00Z;2021-09-14T05:55:00Z;-999;-999;-999
SYNOP;SYNA;883025578;135930;;Pozar/PGC;41.3,22.4167;1031m;2018-06-18T09:00:00Z;2024-06-14T07:00:00Z;-999;-999;-999
SYNOP;SYNO;926304055;167390;LGPL;Astypalaia Airport;36.5799,26.3758;50m;2020-02-12T12:00:00Z;2024-06-13T12:00:00Z;-999;-999;-999
SYNOP;SYNO;1038917049;171150;LTBG;Bandırma Airport;40.318,27.9777;52m;2017-01-01T00:00:00Z;2024-06-14T06:50:00Z;-999;-999;-999
METAR;META;1046955943;;LTBK;Gaziemir Air Base;38.3191,27.1594;132m;2018-08-27T06:50:00Z;2023-10-04T05:50:00Z;-999;-999;-999
METAR;META;1061096586;;LGMK;Mikonos Airport;37.4351,25.3481;123m;2017-01-01T05:50:00Z;2024-06-14T07:20:00Z;-999;-999;-999
SYNOP;SYNA;1159239734;167160;LGAT;Athen Helenikon Airport;37.8916,23.7302;21m;2017-01-01T00:00:00Z;2024-06-14T06:00:00Z;-999;-999;-999
METAR;META;1193164609;166850;LGKF;Kefallinia Airport;38.1201,20.5005;18m;2017-01-01T05:50:00Z;2024-06-14T07:20:00Z;-999;-999;-999
METAR;META;1260303724;166240;LGKV;Kavala Alexander the Great International Airport;40.9133,24.6192;5m;2017-01-01T00:00:00Z;2024-06-14T07:20:00Z;-999;-999;-999
SYNOP;SYNA;1432873294;167150;LGTT;Tatoi Airport;38.1089,23.7838;239m;2017-01-01T00:00:00Z;2024-06-14T06:00:00Z;-999;-999;-999
METAR;META;1496578851;171090;LTFK;Gökçeada Airport;40.2045,25.8833;22m;2017-04-13T06:00:00Z;2024-06-14T06:50:00Z;-999;-999;-999
SYNOP;SYNO;1548325276;166270;LGAL;Alexandroupoli Democritus Airport;40.8559,25.9563;7m;2017-01-01T05:50:00Z;2024-06-14T07:20:00Z;-999;-999;-999
METAR;META;1588056429;135780;LWOH;Ohrid St. Paul the Apostle Airport;41.18,20.7423;705m;2017-01-01T00:00:00Z;2024-06-14T07:00:00Z;-999;-999;-999
SYNOP;SYNA;1620323445;167320;;Naxos;37.1,25.3833;9m;2017-01-01T00:00:00Z;2024-06-14T06:00:00Z;-999;-999;-999
METAR;META;1700758182;;LGSK;Skiathos Island National Airport;39.1771,23.5037;16m;2017-01-01T05:50:00Z;2024-06-14T07:20:00Z;-999;-999;-999
SYNOP;SYNO;1819642232;172320;;Kusadasi;37.8667,27.25;20m;2017-01-01T00:00:00Z;2024-06-14T07:00:00Z;-999;-999;-999
SYNOP;SYNO;1829820867;135790;;Ohrid/Intl;41.1,20.8167;705m;2017-01-01T09:00:00Z;2024-06-14T06:00:00Z;-999;-999;-999
METAR;AUTO;1869227343;167401;LGSO;Syros Airport;37.4228,24.9509;72m;2017-01-01T00:50:00Z;2024-06-14T06:50:00Z;-999;-999;-999
